L,phi,psi,omega,d,theta,rg,re,R,R2
32,-180.0,-153.0,180,-3.648775066774534,155.78694948902336,55.872341436355654,111.74336514911903,0.0375098178772,0.0375
32,-180.0,-152.0,180,-3.647200911576101,154.8936818219297,55.82777224555813,111.65512474197813,0.0388845232444,0.03888888888888889
32,-180.0,-151.0,180,-3.6455621686744726,154.0008075022336,55.78140714922255,111.56280228186137,0.0402592286117,0.04027777777777778
32,-180.0,-150.0,180,-3.6438580098719706,153.1083424458958,55.733227093421945,111.46625816178724,0.0416338953961,0.041666666666666664
32,-180.0,-149.0,180,-3.6420875704372655,152.21630277613028,55.68321607382127,111.36546197758257,0.0430086007633,0.043055555555555555
32,-180.0,-148.0,180,-3.6402499482696276,151.32470483245174,55.63136094777728,111.26049500764225,0.0443833061305,0.044444444444444446
32,-180.0,-147.0,180,-3.638344203023799,150.4335651799323,55.577650614247204,111.15153289293909,0.0457580114978,0.04583333333333333
32,-180.0,-146.0,180,-3.6363693551942906,149.54290061867752,55.52207441769146,111.03880981916028,0.047132716865,0.04722222222222222
32,-180.0,-145.0,180,-3.6343243851578055,148.6527281935319,55.4646205573125,110.92257170771668,0.0485074222322,0.04861111111111111
32,-180.0,-144.0,180,-3.6322082321725144,147.7630652040238,55.40527443808879,110.80302493947494,0.0500785526633,0.05
32,-180.0,-143.0,180,-3.6300197933327487,146.87392921456114,55.34401722177991,110.68029036348175,0.0514532580305,0.05138888888888889
32,-180.0,-142.0,180,-3.6277579224777017,145.98533806488837,55.2808250159492,110.55437055352985,0.0528279633977,0.05277777777777778
32,-180.0,-141.0,180,-3.625421429052612,145.09730988081694,55.21566897823448,110.4251370924344,0.054202668765,0.05416666666666667
32,-180.0,-140.0,180,-3.623009076920859,144.2098630852397,55.14851592218245,110.29233993194373,0.0555773741322,0.05555555555555555
32,-180.0,-139.0,180,-3.6205195831253194,143.32301640944357,55.07932978834106,110.15563880203108,0.0569520794994,0.05694444444444444
32,-180.0,-138.0,180,-3.6179516165972903,142.4367889047307,55.00807354106473,110.0146513134433,0.0583267848666,0.058333333333333334
32,-180.0,-137.0,180,-3.615303796811172,141.5511999543633,54.93471102560741,109.86900972501294,0.0597014902339,0.059722222222222225
32,-180.0,-136.0,180,-3.612574692383087,140.66626928584418,54.85920874586004,109.7184171424535,0.0610761570183,0.06111111111111111
32,-180.0,-135.0,180,-3.60976281961147,139.78201698354752,54.78153701649254,109.5626927769714,0.0624508623855,0.0625
32,-180.0,-134.0,180,-3.606866640957642,138.89846350171484,54.70167026860719,109.40179814924049,0.0638255677527,0.06388888888888888
32,-180.0,-133.0,180,-3.6038845634642875,138.0156296778297,54.61958652721413,109.23583905848506,0.06520027312,0.06527777777777778
32,-180.0,-132.0,180,-3.600814937109646,137.1335367463885,54.53526605219544,109.06504189557792,0.0665749784872,0.06666666666666667
