L,phi,psi,omega,d,theta,rg,re,R
10,-180.0,-149.0,180,-3.64208757044,152.216302776,261.65615338,32.3333450245,0.0430086007633
10,-180.0,-148.0,180,-3.64024994827,151.324704832,261.180297583,32.3044283499,0.0443833061305
10,-180.0,-147.0,180,-3.63834420302,150.43356518,260.688308007,32.2746144749,0.0457580114978
10,-180.0,-146.0,180,-3.63636935519,149.542900619,260.179998803,32.243881878,0.047132716865
10,-180.0,-145.0,180,-3.63432438516,148.652728194,259.655171189,32.2122060281,0.0485074222322
10,-180.0,-144.0,180,-3.63220823217,147.763065204,259.113613514,32.1795593543,0.0500785526633
10,-180.0,-143.0,180,-3.63001979333,146.873929215,258.555101017,32.1459113848,0.0514532580305
10,-180.0,-142.0,180,-3.62775792248,145.985338065,257.97939934,32.1112288756,0.0528279633977
10,-180.0,-141.0,180,-3.62542142905,145.097309881,257.386262698,32.0754759674,0.054202668765
10,-180.0,-140.0,180,-3.62300907692,144.209863085,256.775436825,32.0386143922,0.0555773741322
10,-180.0,-139.0,180,-3.62051958313,143.323016409,256.146659355,32.000603688,0.0569520794994
10,-180.0,-138.0,180,-3.6179516166,142.436788905,255.499662905,31.961401587,0.0583267848666
10,-180.0,-137.0,180,-3.61530379681,141.551199954,254.834171887,31.9209641196,0.0597014902339
10,-180.0,-136.0,180,-3.61257469238,140.666269286,254.14991243,31.8792462857,0.0610761570183
10,-180.0,-135.0,180,-3.60976281961,139.782016984,253.446604822,31.8362020562,0.0624508623855
10,-180.0,-134.0,180,-3.60686664096,138.898463502,252.723972179,31.7917850303,0.0638255677527
10,-180.0,-133.0,180,-3.60388456346,138.015629678,251.981739645,31.7459487945,0.06520027312
10,-180.0,-132.0,180,-3.60081493711,137.133536746,251.219633683,31.6986471441,0.0665749784872
10,-180.0,-131.0,180,-3.5976560531,136.252206353,250.437389279,31.6498348842,0.0679496838544
10,-180.0,-130.0,180,-3.59440614206,135.371660569,249.634747168,31.599467914,0.0695208142855
10,-180.0,-129.0,180,-3.59106337225,134.491921908,248.811455192,31.5475037761,0.0708955196527
10,-180.0,-128.0,180,-3.58762584755,133.613013337,247.967274704,31.4939022166,0.0722702250199
10,-180.0,-127.0,180,-3.58409160552,132.734958297,247.101975199,31.4386253108,0.0736449303872
10,-180.0,-126.0,180,-3.5804586153,131.85778072,246.215339667,31.3816379505,0.0750196357544
10,-180.0,-125.0,180,-3.57672477544,130.98150504,245.307165469,31.322908341,0.0763943411216
10,-180.0,-124.0,180,-3.57288791166,130.106156217,244.377262643,31.2624080485,0.0777690464888
10,-180.0,-123.0,180,-3.56894577451,129.231759752,243.425456632,31.2001123748,0.0791437518561
10,-180.0,-122.0,180,-3.56489603695,128.358341706,242.451586362,31.1360005452,0.0805184186405
10,-180.0,-121.0,180,-3.56073629183,127.485928719,241.455506864,31.0700559042,0.0818931240077
10,-180.0,-120.0,180,-3.55646404925,126.614548032,240.437085662,31.0022659377,0.0832678293749
10,-180.0,-119.0,180,-3.55207673388,125.744227505,239.396207308,30.9326224534,0.0846425347422
10,-180.0,-118.0,180,-3.54757168211,124.874995639,238.332765114,30.8611212849,0.0860172401094
10,-180.0,-117.0,180,-3.54294613914,124.0068816,237.246665641,30.7877624683,0.0873919454766
10,-180.0,-116.0,180,-3.53819725591,123.139915239,236.137825153,30.7125498575,0.0889630759077
10,-180.0,-115.0,180,-3.533322086,122.274127116,235.006170001,30.6354910532,0.0903377812749
10,-180.0,-114.0,180,-3.5283175823,121.409548525,233.851632002,30.5565970828,0.0917124866422
10,-180.0,-113.0,180,-3.52318059366,120.54621152,232.674146064,30.4758818216,0.0930871920094
10,-180.0,-112.0,180,-3.51790786134,119.684148937,231.473651921,30.3933617963,0.0944618973766
10,-180.0,-111.0,180,-3.5124960154,118.823394427,230.25008565,30.3090554932,0.0958366027438
10,-180.0,-110.0,180,-3.50694157087,117.963982478,229.003384232,30.2229830971,0.0972113081111
10,-180.0,-109.0,180,-3.50124092386,117.105948445,227.733477065,30.1351655004,0.0985860134783
10,-180.0,-108.0,180,-3.4953903475,116.249328584,226.440287189,30.0456239574,0.0999606802627
10,-180.0,-107.0,180,-3.48938598771,115.394160074,225.123724472,29.9543792078,0.10133538563
10,-180.0,-106.0,180,-3.48322385889,114.540481059,223.783688607,29.861450903,0.102710090997
10,-180.0,-105.0,180,-3.47689983937,113.688330671,222.420061856,29.7668567242,0.104084796364
10,-180.0,-104.0,180,-3.47040966674,112.837749072,221.032709309,29.6706117583,0.105459501732
10,-180.0,-103.0,180,-3.46374893306,111.988777482,219.621478855,29.5727278703,0.106834207099
10,-180.0,-102.0,180,-3.45691307987,111.141458223,218.186192982,29.4732124771,0.10840533753
10,-180.0,-101.0,180,-3.44989739298,110.295834747,216.726653736,29.3720684713,0.109780042897
10,-180.0,-100.0,180,-3.44269699721,109.451951685,215.24263986,29.2692931058,0.111154748264
10,-180.0,-99.0,180,-3.43530685083,108.609854877,213.733903455,29.1648774922,0.112529453632
10,-180.0,-98.0,180,-3.42772173993,107.769591424,212.200172882,29.0588059231,0.113904158999
10,-180.0,-97.0,180,-3.41993627252,106.931209721,210.64115085,28.9510555332,0.115278864366
10,-180.0,-96.0,180,-3.41194487252,106.094759507,209.056516212,28.8415956186,0.116653569733
10,-180.0,-95.0,180,-3.40374177355,105.26029191,207.445924915,28.7303873498,0.1180282751
10,-180.0,-94.0,180,-3.39532101248,104.427859495,205.809010581,28.6173835426,0.119402941885
10,-180.0,-93.0,180,-3.38667642292,103.597516309,204.145385933,28.5025281564,0.120777647252
10,-180.0,-92.0,180,-3.37780162835,102.769317937,202.454647215,28.3857565285,0.122152352619
10,-180.0,-91.0,180,-3.36869003528,101.943321552,200.736374583,28.2669950578,0.123527057987
10,-180.0,-90.0,180,-3.35933482605,101.119585966,198.990140087,28.14616151,0.124901763354
10,-180.0,-89.0,180,-3.34972895152,100.298171691,197.215504871,28.0231651344,0.126276468721
10,-180.0,-88.0,180,-3.33986512366,99.4791409942,195.412029809,27.897906753,0.127847599152
10,-180.0,-87.0,180,-3.32973580784,98.6625579565,193.579271117,27.7702792317,0.129222304519
